Frame	X	Y	Z
1	3.79	-13.02	-13.03
2	3.688	-13.125	-12.734
3	4.332	-12.68	-13.09
4	3.377	-12.72	-13.12
5	2.86	-12.56	-13.79
6	3.488	-12.055	-13.99
7	3.406	-12.05	-13.95
8	3.307	-12.516	-13.89
9	3.123	-12.7	-13.484
10	2.396	-13.266	-13.16
11	2.81	-12.83	-13.54
12	3.564	-12.92	-13.734
13	3.39	-12.94	-13.18
14	3.418	-12.66	-13.42
15	3.715	-12.69	-13.03
16	3.37	-12.62	-13.56
17	3.54	-12.234	-13.29
18	3.85	-12.41	-13.56
19	3.957	-12.49	-13.23
20	3.803	-12.26	-13.766
21	2.975	-11.89	-14.0
22	3.377	-12.02	-13.37
23	3.928	-13.04	-13.05
24	3.693	-12.71	-13.625
25	2.627	-12.43	-13.78
26	3.816	-12.625	-13.44
27	3.857	-12.75	-13.11
28	3.127	-12.45	-12.84
29	3.145	-12.46	-13.17
30	3.576	-12.99	-12.9
31	3.674	-12.38	-13.37
32	3.838	-12.945	-13.05
33	3.979	-12.49	-13.11
34	4.082	-12.67	-13.42
35	3.572	-12.63	-13.234
36	4.37	-12.445	-12.89
37	4.023	-12.945	-13.32
38	3.746	-12.77	-13.27
39	3.781	-12.695	-13.4
40	3.793	-12.555	-13.03
41	4.004	-12.63	-13.25
42	3.416	-12.71	-13.16
43	3.982	-12.71	-13.15
44	4.266	-13.48	-12.234
45	3.426	-13.414	-12.8
46	4.332	-13.53	-12.67
47	3.637	-13.06	-12.92
48	3.906	-12.695	-13.36
49	4.324	-12.87	-13.52
50	3.914	-12.49	-13.39
51	4.152	-12.67	-13.21
52	4.188	-12.55	-12.83
53	4.42	-12.92	-13.17
54	5.6	-13.24	-12.26
55	4.82	-13.41	-13.26
56	4.637	-12.48	-13.48
57	4.707	-12.39	-13.3
58	4.15	-12.445	-13.44
59	4.453	-12.734	-13.44
60	4.293	-12.83	-13.055
61	4.816	-12.86	-12.734
62	4.39	-13.625	-12.34
63	3.729	-14.43	-11.45
64	4.02	-12.99	-12.484
65	3.31	-13.055	-11.75
66	4.34	-12.51	-12.14
67	4.367	-12.914	-12.56
68	4.805	-12.65	-12.67
69	4.152	-13.14	-12.48
70	4.973	-11.984	-13.07
71	4.016	-12.41	-12.89
72	3.248	-12.67	-13.29
73	3.645	-12.69	-13.055
74	4.27	-12.96	-13.17
75	4.305	-12.63	-12.734
76	3.857	-12.76	-13.16
77	3.607	-12.54	-13.58
78	4.027	-12.83	-13.51
79	3.9	-13.15	-13.62
80	3.299	-11.86	-13.73
81	3.078	-11.89	-13.81
82	3.404	-12.79	-13.23
83	3.443	-12.67	-14.16
84	3.635	-12.664	-13.51
85	3.205	-12.625	-14.01
86	3.605	-12.8	-13.12
87	3.537	-12.58	-14.3
88	3.668	-12.586	-13.484
89	3.924	-12.875	-13.51
90	3.68	-12.375	-13.3
91	3.492	-12.6	-13.37
92	4.133	-12.63	-13.43
93	2.574	-12.09	-13.586
94	3.395	-12.56	-12.97
95	2.777	-12.21	-13.7
96	3.139	-12.586	-13.555
97	3.365	-12.3	-14.35
98	3.611	-12.51	-13.89
99	3.223	-12.3	-13.29
100	3.404	-12.49	-12.98
Average	3.762	-12.69	-13.234
